"filename", "language", "JavaScript", "CSS", "HTML", "JSON", "JSON with Comments", "TypeScript", "Markdown", "comment", "blank", "total"
"f:\assignments-java-traing\product-java-fullstack-training\CSS\calculator\cal.html", "HTML", 0, 0, 132, 0, 0, 0, 0, 0, 14, 146
"f:\assignments-java-traing\product-java-fullstack-training\CSS\calculator\calstyle.css", "CSS", 0, 62, 0, 0, 0, 0, 0, 0, 2, 64
"f:\assignments-java-traing\product-java-fullstack-training\CSS\calculator\test.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"f:\assignments-java-traing\product-java-fullstack-training\CSS\chess bord task\chess.html", "HTML", 0, 0, 157, 0, 0, 0, 0, 0, 97, 254
"f:\assignments-java-traing\product-java-fullstack-training\CSS\chess bord task\secondchess.html", "HTML", 0, 0, 77, 0, 0, 0, 0, 0, 8, 85
"f:\assignments-java-traing\product-java-fullstack-training\CSS\chess bord task\secondchessstyle.css", "CSS", 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"f:\assignments-java-traing\product-java-fullstack-training\CSS\chess bord task\stylechess.css", "CSS", 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"f:\assignments-java-traing\product-java-fullstack-training\CSS\chess bord task\tablechess.html", "HTML", 0, 0, 95, 0, 0, 0, 0, 0, 29, 124
"f:\assignments-java-traing\product-java-fullstack-training\CSS\chess bord task\tablechessStyle.css", "CSS", 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"f:\assignments-java-traing\product-java-fullstack-training\CSS\cssSelectors.html", "HTML", 0, 0, 27, 0, 0, 0, 0, 0, 2, 29
"f:\assignments-java-traing\product-java-fullstack-training\CSS\gallary\gallary.html", "HTML", 0, 0, 26, 0, 0, 0, 0, 0, 4, 30
"f:\assignments-java-traing\product-java-fullstack-training\CSS\gallary\gallaryStyle.css", "CSS", 0, 104, 0, 0, 0, 0, 0, 0, 11, 115
"f:\assignments-java-traing\product-java-fullstack-training\CSS\login css\login.html", "HTML", 0, 0, 35, 0, 0, 0, 0, 0, 4, 39
"f:\assignments-java-traing\product-java-fullstack-training\CSS\login css\loginstyle.css", "CSS", 0, 108, 0, 0, 0, 0, 0, 0, 10, 118
"f:\assignments-java-traing\product-java-fullstack-training\CSS\login css\register.html", "HTML", 0, 0, 39, 0, 0, 0, 0, 0, 5, 44
"f:\assignments-java-traing\product-java-fullstack-training\CSS\poster task\poster.html", "HTML", 0, 0, 33, 0, 0, 0, 0, 0, 1, 34
