Date : 2024-08-03 13:19:37
Directory : f:\assignments-java-traing\product-java-fullstack-training
Total : 178 files,  51889 codes, 96 comments, 905 blanks, all 52890 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         17 |     43,835 |         12 |         17 |     43,864 |
| HTML               |         65 |      5,247 |         46 |        399 |      5,692 |
| CSS                |         36 |      1,524 |         22 |        183 |      1,729 |
| TypeScript         |         45 |      1,065 |         10 |        249 |      1,324 |
| JSON with Comments |          3 |         90 |          6 |          3 |         99 |
| JavaScript         |          9 |         86 |          0 |         12 |         98 |
| Markdown           |          3 |         42 |          0 |         42 |         84 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                     |        178 |     51,889 |         96 |        905 |     52,890 |
| CSS                                                                                                                                                   |         24 |      1,496 |          0 |        238 |      1,734 |
| CSS (Files)                                                                                                                                           |          1 |         27 |          0 |          2 |         29 |
| CSS\calculator                                                                                                                                        |          3 |        196 |          0 |         17 |        213 |
| CSS\chess bord task                                                                                                                                   |          6 |        398 |          0 |        143 |        541 |
| CSS\gallary                                                                                                                                           |          2 |        130 |          0 |         15 |        145 |
| CSS\login css                                                                                                                                         |          3 |        182 |          0 |         19 |        201 |
| CSS\poster task                                                                                                                                       |          2 |         55 |          0 |          2 |         57 |
| CSS\shaps                                                                                                                                             |          1 |         62 |          0 |          2 |         64 |
| CSS\table decoation task                                                                                                                              |          2 |         60 |          0 |          2 |         62 |
| CSS\table styling                                                                                                                                     |          2 |         41 |          0 |          6 |         47 |
| CSS\web page css                                                                                                                                      |          2 |        345 |          0 |         30 |        375 |
| HTML                                                                                                                                                  |         14 |        763 |          0 |         51 |        814 |
| HTML\gui form                                                                                                                                         |          1 |         94 |          0 |          8 |        102 |
| HTML\list of course                                                                                                                                   |          1 |         37 |          0 |          4 |         41 |
| HTML\login page                                                                                                                                       |          7 |        275 |          0 |         20 |        295 |
| HTML\question paper                                                                                                                                   |          1 |         59 |          0 |          5 |         64 |
| HTML\resume                                                                                                                                           |          2 |        203 |          0 |         12 |        215 |
| HTML\timetable                                                                                                                                        |          1 |         57 |          0 |          0 |         57 |
| HTML\video audio html                                                                                                                                 |          1 |         38 |          0 |          2 |         40 |
| JS                                                                                                                                                    |         16 |        417 |          9 |         24 |        450 |
| JS\factorial                                                                                                                                          |          2 |         37 |          3 |          3 |         43 |
| JS\factorial tabel                                                                                                                                    |          1 |         29 |          0 |          1 |         30 |
| JS\fibinoce                                                                                                                                           |          2 |         56 |          3 |          4 |         63 |
| JS\functions                                                                                                                                          |          2 |         59 |          0 |          1 |         60 |
| JS\object                                                                                                                                             |          2 |         49 |          0 |          2 |         51 |
| JS\pattern                                                                                                                                            |          1 |         28 |          0 |          3 |         31 |
| JS\polidrome                                                                                                                                          |          3 |        104 |          0 |          7 |        111 |
| JS\practices                                                                                                                                          |          1 |          4 |          0 |          0 |          4 |
| JS\prime                                                                                                                                              |          2 |         51 |          3 |          3 |         57 |
| angular projects                                                                                                                                      |        100 |     46,350 |         68 |        395 |     46,813 |
| angular projects\forpractices                                                                                                                         |         43 |     16,446 |         20 |        205 |     16,671 |
| angular projects\forpractices (Files)                                                                                                                 |          8 |     15,127 |          6 |         22 |     15,155 |
| angular projects\forpractices\src                                                                                                                     |         35 |      1,319 |         14 |        183 |      1,516 |
| angular projects\forpractices\src (Files)                                                                                                             |          3 |         38 |          1 |          4 |         43 |
| angular projects\forpractices\src\app                                                                                                                 |         32 |      1,281 |         13 |        179 |      1,473 |
| angular projects\forpractices\src\app (Files)                                                                                                         |         10 |        370 |          2 |         63 |        435 |
| angular projects\forpractices\src\app\product                                                                                                         |         22 |        911 |         11 |        116 |      1,038 |
| angular projects\forpractices\src\app\product (Files)                                                                                                 |          2 |         18 |          0 |          8 |         26 |
| angular projects\forpractices\src\app\product\add                                                                                                     |          4 |        170 |          1 |         20 |        191 |
| angular projects\forpractices\src\app\product\cart                                                                                                    |          4 |        220 |          0 |         27 |        247 |
| angular projects\forpractices\src\app\product\list                                                                                                    |          4 |        150 |          6 |         24 |        180 |
| angular projects\forpractices\src\app\product\update                                                                                                  |          4 |        171 |          2 |         19 |        192 |
| angular projects\forpractices\src\app\product\view                                                                                                    |          4 |        182 |          2 |         18 |        202 |
| angular projects\mytrainingApp                                                                                                                        |         24 |     14,937 |         41 |         92 |     15,070 |
| angular projects\mytrainingApp (Files)                                                                                                                |          7 |     14,359 |          6 |         20 |     14,385 |
| angular projects\mytrainingApp\src                                                                                                                    |         17 |        578 |         35 |         72 |        685 |
| angular projects\mytrainingApp\src (Files)                                                                                                            |          3 |         38 |          1 |          4 |         43 |
| angular projects\mytrainingApp\src\app                                                                                                                |         14 |        540 |         34 |         68 |        642 |
| angular projects\mytrainingApp\src\app (Files)                                                                                                        |          6 |         51 |          0 |         16 |         67 |
| angular projects\mytrainingApp\src\app\login-curd-word                                                                                                |          4 |        207 |         16 |         24 |        247 |
| angular projects\mytrainingApp\src\app\property-binding                                                                                               |          4 |        282 |         18 |         28 |        328 |
| angular projects\understand-curd                                                                                                                      |         33 |     14,967 |          7 |         98 |     15,072 |
| angular projects\understand-curd (Files)                                                                                                              |          8 |     14,481 |          6 |         20 |     14,507 |
| angular projects\understand-curd\src                                                                                                                  |         25 |        486 |          1 |         78 |        565 |
| angular projects\understand-curd\src (Files)                                                                                                          |          3 |         22 |          1 |          5 |         28 |
| angular projects\understand-curd\src\app                                                                                                              |         22 |        464 |          0 |         73 |        537 |
| angular projects\understand-curd\src\app (Files)                                                                                                      |         10 |        163 |          0 |         32 |        195 |
| angular projects\understand-curd\src\app\add                                                                                                          |          4 |         98 |          0 |         11 |        109 |
| angular projects\understand-curd\src\app\list                                                                                                         |          4 |         88 |          0 |         14 |        102 |
| angular projects\understand-curd\src\app\update                                                                                                       |          4 |        115 |          0 |         16 |        131 |
| bootscrapt                                                                                                                                            |          8 |      2,181 |          9 |        135 |      2,325 |
| bootscrapt\grid layout                                                                                                                                |          2 |        148 |          0 |         16 |        164 |
| bootscrapt\login task                                                                                                                                 |          2 |        167 |          0 |         10 |        177 |
| bootscrapt\practices                                                                                                                                  |          1 |        188 |          8 |          8 |        204 |
| bootscrapt\snapdeal web page                                                                                                                          |          3 |      1,678 |          1 |        101 |      1,780 |
| clock                                                                                                                                                 |          3 |         93 |          1 |          7 |        101 |
| flex                                                                                                                                                  |          2 |         48 |          0 |         12 |         60 |
| iframes                                                                                                                                               |          7 |         87 |          0 |          8 |         95 |
| leveling task                                                                                                                                         |          4 |        454 |          9 |         35 |        498 |
| leveling task\grid ui                                                                                                                                 |          2 |        256 |          8 |         24 |        288 |
| leveling task\login ui                                                                                                                                |          2 |        198 |          1 |         11 |        210 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                              | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| f:\assignments-java-traing\product-java-fullstack-training\CSS\calculator\cal.html                                                                    | HTML               |        132 |          0 |         14 |        146 |
| f:\assignments-java-traing\product-java-fullstack-training\CSS\calculator\calstyle.css                                                                | CSS                |         62 |          0 |          2 |         64 |
| f:\assignments-java-traing\product-java-fullstack-training\CSS\calculator\test.js                                                                     | JavaScript         |          2 |          0 |          1 |          3 |
| f:\assignments-java-traing\product-java-fullstack-training\CSS\chess bord task\chess.html                                                             | HTML               |        157 |          0 |         97 |        254 |
| f:\assignments-java-traing\product-java-fullstack-training\CSS\chess bord task\secondchess.html                                                       | HTML               |         77 |          0 |          8 |         85 |
| f:\assignments-java-traing\product-java-fullstack-training\CSS\chess bord task\secondchessstyle.css                                                   | CSS                |         16 |          0 |          3 |         19 |
| f:\assignments-java-traing\product-java-fullstack-training\CSS\chess bord task\stylechess.css                                                         | CSS                |         26 |          0 |          4 |         30 |
| f:\assignments-java-traing\product-java-fullstack-training\CSS\chess bord task\tablechess.html                                                        | HTML               |         95 |          0 |         29 |        124 |
| f:\assignments-java-traing\product-java-fullstack-training\CSS\chess bord task\tablechessStyle.css                                                    | CSS                |         27 |          0 |          2 |         29 |
| f:\assignments-java-traing\product-java-fullstack-training\CSS\cssSelectors.html                                                                      | HTML               |         27 |          0 |          2 |         29 |
| f:\assignments-java-traing\product-java-fullstack-training\CSS\gallary\gallary.html                                                                   | HTML               |         26 |          0 |          4 |         30 |
| f:\assignments-java-traing\product-java-fullstack-training\CSS\gallary\gallaryStyle.css                                                               | CSS                |        104 |          0 |         11 |        115 |
| f:\assignments-java-traing\product-java-fullstack-training\CSS\login css\login.html                                                                   | HTML               |         35 |          0 |          4 |         39 |
| f:\assignments-java-traing\product-java-fullstack-training\CSS\login css\loginstyle.css                                                               | CSS                |        108 |          0 |         10 |        118 |
| f:\assignments-java-traing\product-java-fullstack-training\CSS\login css\register.html                                                                | HTML               |         39 |          0 |          5 |         44 |
| f:\assignments-java-traing\product-java-fullstack-training\CSS\poster task\poster.html                                                                | HTML               |         33 |          0 |          1 |         34 |
| f:\assignments-java-traing\product-java-fullstack-training\CSS\poster task\posterstyle.css                                                            | CSS                |         22 |          0 |          1 |         23 |
| f:\assignments-java-traing\product-java-fullstack-training\CSS\shaps\shaps.html                                                                       | HTML               |         62 |          0 |          2 |         64 |
| f:\assignments-java-traing\product-java-fullstack-training\CSS\table decoation task\tablecssTask.html                                                 | HTML               |         48 |          0 |          1 |         49 |
| f:\assignments-java-traing\product-java-fullstack-training\CSS\table decoation task\tabledeco.css                                                     | CSS                |         12 |          0 |          1 |         13 |
| f:\assignments-java-traing\product-java-fullstack-training\CSS\table styling\tabledeco.html                                                           | HTML               |         29 |          0 |          3 |         32 |
| f:\assignments-java-traing\product-java-fullstack-training\CSS\table styling\tablestyling.css                                                         | CSS                |         12 |          0 |          3 |         15 |
| f:\assignments-java-traing\product-java-fullstack-training\CSS\web page css\homepage.html                                                             | HTML               |        193 |          0 |          8 |        201 |
| f:\assignments-java-traing\product-java-fullstack-training\CSS\web page css\webpagestyle.css                                                          | CSS                |        152 |          0 |         22 |        174 |
| f:\assignments-java-traing\product-java-fullstack-training\HTML\gui form\guiForm.html                                                                 | HTML               |         94 |          0 |          8 |        102 |
| f:\assignments-java-traing\product-java-fullstack-training\HTML\list of course\listOfCoruse.html                                                      | HTML               |         37 |          0 |          4 |         41 |
| f:\assignments-java-traing\product-java-fullstack-training\HTML\login page\homepage.html                                                              | HTML               |         16 |          0 |          3 |         19 |
| f:\assignments-java-traing\product-java-fullstack-training\HTML\login page\index.html                                                                 | HTML               |         68 |          0 |          6 |         74 |
| f:\assignments-java-traing\product-java-fullstack-training\HTML\login page\link.html                                                                  | HTML               |         11 |          0 |          1 |         12 |
| f:\assignments-java-traing\product-java-fullstack-training\HTML\login page\register.html                                                              | HTML               |         86 |          0 |          4 |         90 |
| f:\assignments-java-traing\product-java-fullstack-training\HTML\login page\sirtest.html                                                               | HTML               |         57 |          0 |          2 |         59 |
| f:\assignments-java-traing\product-java-fullstack-training\HTML\login page\style.css                                                                  | CSS                |         37 |          0 |          3 |         40 |
| f:\assignments-java-traing\product-java-fullstack-training\HTML\login page\working.js                                                                 | JavaScript         |          0 |          0 |          1 |          1 |
| f:\assignments-java-traing\product-java-fullstack-training\HTML\question paper\question.html                                                          | HTML               |         59 |          0 |          5 |         64 |
| f:\assignments-java-traing\product-java-fullstack-training\HTML\resume\index.html                                                                     | HTML               |        203 |          0 |         11 |        214 |
| f:\assignments-java-traing\product-java-fullstack-training\HTML\resume\style.css                                                                      | CSS                |          0 |          0 |          1 |          1 |
| f:\assignments-java-traing\product-java-fullstack-training\HTML\timetable\timetable.html                                                              | HTML               |         57 |          0 |          0 |         57 |
| f:\assignments-java-traing\product-java-fullstack-training\HTML\video audio html\video.html                                                           | HTML               |         38 |          0 |          2 |         40 |
| f:\assignments-java-traing\product-java-fullstack-training\JS\factorial tabel\facttable.html                                                          | HTML               |         29 |          0 |          1 |         30 |
| f:\assignments-java-traing\product-java-fullstack-training\JS\factorial\fact.html                                                                     | HTML               |         37 |          3 |          2 |         42 |
| f:\assignments-java-traing\product-java-fullstack-training\JS\factorial\factorial.js                                                                  | JavaScript         |          0 |          0 |          1 |          1 |
| f:\assignments-java-traing\product-java-fullstack-training\JS\fibinoce\fibi.js                                                                        | JavaScript         |         11 |          0 |          3 |         14 |
| f:\assignments-java-traing\product-java-fullstack-training\JS\fibinoce\fibinouse.html                                                                 | HTML               |         45 |          3 |          1 |         49 |
| f:\assignments-java-traing\product-java-fullstack-training\JS\functions\sample.html                                                                   | HTML               |         27 |          0 |          1 |         28 |
| f:\assignments-java-traing\product-java-fullstack-training\JS\functions\work.js                                                                       | JavaScript         |         32 |          0 |          0 |         32 |
| f:\assignments-java-traing\product-java-fullstack-training\JS\object\calssobject.html                                                                 | HTML               |         27 |          0 |          0 |         27 |
| f:\assignments-java-traing\product-java-fullstack-training\JS\object\object.html                                                                      | HTML               |         22 |          0 |          2 |         24 |
| f:\assignments-java-traing\product-java-fullstack-training\JS\pattern\pat.html                                                                        | HTML               |         28 |          0 |          3 |         31 |
| f:\assignments-java-traing\product-java-fullstack-training\JS\polidrome\polin.js                                                                      | JavaScript         |         37 |          0 |          4 |         41 |
| f:\assignments-java-traing\product-java-fullstack-training\JS\polidrome\polindorm.html                                                                | HTML               |         29 |          0 |          1 |         30 |
